Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1494414903.1599345,0,1494414903,159934485,gps,0,0,47.39610290527344,8.648252487182617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.2596114,0,1494414903,259611345,gps,0,0,47.3961181640625,8.648266792297363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.3595853,0,1494414903,359585205,gps,0,0,47.3961181640625,8.648266792297363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.459591,0,1494414903,459590810,gps,0,0,47.39613342285156,8.648276329040527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.559585,0,1494414903,559584997,gps,0,0,47.39613342285156,8.648276329040527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.6596665,0,1494414903,659666601,gps,0,0,47.396148681640625,8.648282051086426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.7596912,0,1494414903,759691174,gps,0,0,47.396148681640625,8.648282051086426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.8595645,0,1494414903,859564646,gps,0,0,47.39616394042969,8.648283958435059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.9595773,0,1494414903,959577327,gps,0,0,47.39616394042969,8.648283958435059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.0596218,0,1494414904,59621829,gps,0,0,47.396175384521484,8.648280143737793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.15992,0,1494414904,159919947,gps,0,0,47.396175384521484,8.648280143737793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.2596414,0,1494414904,259641375,gps,0,0,47.39619064331055,8.648271560668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.3596215,0,1494414904,359621520,gps,0,0,47.39619064331055,8.648271560668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.4596362,0,1494414904,459636325,gps,0,0,47.39619827270508,8.6482572555542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.5597198,0,1494414904,559719799,gps,0,0,47.39619827270508,8.6482572555542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.6596122,0,1494414904,659612180,gps,0,0,47.39620590209961,8.648240089416504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.7595797,0,1494414904,759579674,gps,0,0,47.39620590209961,8.648240089416504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.8595552,0,1494414904,859555154,gps,0,0,47.39620590209961,8.648221969604492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414904.9596195,0,1494414904,959619546,gps,0,0,47.39620590209961,8.648221969604492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.059623,0,1494414905,59623107,gps,0,0,47.39619827270508,8.648204803466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.1598592,0,1494414905,159859280,gps,0,0,47.39619827270508,8.648204803466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.2595274,0,1494414905,259527340,gps,0,0,47.39619445800781,8.64819049835205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.3595886,0,1494414905,359588699,gps,0,0,47.39619445800781,8.64819049835205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.4596136,0,1494414905,459613476,gps,0,0,47.396183013916016,8.648178100585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.5595162,0,1494414905,559516125,gps,0,0,47.396183013916016,8.648178100585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.659595,0,1494414905,659594937,gps,0,0,47.39617156982422,8.648170471191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.7596076,0,1494414905,759607631,gps,0,0,47.39617156982422,8.648170471191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.8595824,0,1494414905,859582538,gps,0,0,47.39616012573242,8.648163795471191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414905.9594877,0,1494414905,959487655,gps,0,0,47.39616012573242,8.648163795471191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.0595264,0,1494414906,59526356,gps,0,0,47.39614486694336,8.648158073425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.1599026,0,1494414906,159902547,gps,0,0,47.39614486694336,8.648158073425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.2596822,0,1494414906,259682159,gps,0,0,47.39613342285156,8.648148536682129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.3595862,0,1494414906,359586144,gps,0,0,47.39613342285156,8.648148536682129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.4596407,0,1494414906,459640625,gps,0,0,47.396114349365234,8.648137092590332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.5595512,0,1494414906,559551255,gps,0,0,47.396114349365234,8.648137092590332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.659577,0,1494414906,659576977,gps,0,0,47.39610290527344,8.64812183380127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.7595646,0,1494414906,759564526,gps,0,0,47.39610290527344,8.64812183380127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.8594909,0,1494414906,859490958,gps,0,0,47.396087646484375,8.648103713989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414906.959542,0,1494414906,959541966,gps,0,0,47.396087646484375,8.648103713989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.0595927,0,1494414907,59592627,gps,0,0,47.39607238769531,8.648083686828613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.159844,0,1494414907,159843877,gps,0,0,47.39607238769531,8.648083686828613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.2595148,0,1494414907,259514858,gps,0,0,47.396060943603516,8.648059844970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.3594592,0,1494414907,359459044,gps,0,0,47.396060943603516,8.648059844970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.4595563,0,1494414907,459556381,gps,0,0,47.396053314208984,8.64803409576416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.5595677,0,1494414907,559567647,gps,0,0,47.396053314208984,8.64803409576416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.659461,0,1494414907,659460910,gps,0,0,47.39604568481445,8.6480073928833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.7595036,0,1494414907,759503525,gps,0,0,47.39604568481445,8.6480073928833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.8594859,0,1494414907,859485812,gps,0,0,47.39603805541992,8.647980690002441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414907.959571,0,1494414907,959570869,gps,0,0,47.39603805541992,8.647980690002441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.0595856,0,1494414908,59585671,gps,0,0,47.396034240722656,8.647954940795898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.1597726,0,1494414908,159772606,gps,0,0,47.396034240722656,8.647954940795898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.2595494,0,1494414908,259549303,gps,0,0,47.396026611328125,8.647931098937988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.3596027,0,1494414908,359602631,gps,0,0,47.396026611328125,8.647931098937988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.4595385,0,1494414908,459538494,gps,0,0,47.39601516723633,8.647910118103027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.5595846,0,1494414908,559584699,gps,0,0,47.39601516723633,8.647910118103027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.659529,0,1494414908,659528933,gps,0,0,47.39599609375,8.6478910446167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.7595544,0,1494414908,759554357,gps,0,0,47.39599609375,8.6478910446167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.8595726,0,1494414908,859572623,gps,0,0,47.3959846496582,8.647871017456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414908.9595408,0,1494414908,959540804,gps,0,0,47.3959846496582,8.647871017456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.0595157,0,1494414909,59515680,gps,0,0,47.395973205566406,8.647847175598145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.15981,0,1494414909,159810025,gps,0,0,47.395973205566406,8.647847175598145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.2595868,0,1494414909,259586759,gps,0,0,47.395957946777344,8.647820472717285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.3595626,0,1494414909,359562619,gps,0,0,47.395957946777344,8.647820472717285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.4595556,0,1494414909,459555570,gps,0,0,47.39595031738281,8.64779281616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.5595312,0,1494414909,559531144,gps,0,0,47.39595031738281,8.64779281616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.6595604,0,1494414909,659560537,gps,0,0,47.39594268798828,8.6477632522583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.7595425,0,1494414909,759542483,gps,0,0,47.39594268798828,8.6477632522583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.8595772,0,1494414909,859577107,gps,0,0,47.39593505859375,8.64773178100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414909.9596376,0,1494414909,959637546,gps,0,0,47.39593505859375,8.64773178100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414910.0595317,0,1494414910,59531576,gps,0,0,47.395931243896484,8.647701263427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414910.159852,0,1494414910,159852135,gps,0,0,47.395931243896484,8.647701263427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414910.2595098,0,1494414910,259509820,gps,0,0,47.39592742919922,8.64766788482666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414910.3596113,0,1494414910,359611255,gps,0,0,47.39592742919922,8.64766788482666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
